group_name	categ	tick	meta_order
"trafficcone_004"	"pyramid"	5	0
"trafficcone_004"	"pyramid"	6	0
"trafficcone_004"	"pyramid"	7	0
"trafficcone_005"	"pyramid"	1	0
"trafficcone_005"	"pyramid"	2	0
"trafficcone_005"	"pyramid"	3	0
"trafficcone_005"	"pyramid"	4	0
"trafficcone_005"	"pyramid"	5	0
"trafficcone_005"	"pyramid"	6	0
"trafficcone_005"	"pyramid"	7	0
"trafficcone_007"	"pyramid"	1	0
"trafficcone_007"	"pyramid"	2	0
"trafficcone_007"	"pyramid"	3	0
"trafficcone_007"	"pyramid"	4	0
"trafficcone_007"	"pyramid"	5	0
"trafficcone_007"	"pyramid"	6	0
"trafficcone_007"	"pyramid"	7	0
"trex_001"	"pyramid"	1	0
"trex_001"	"pyramid"	2	0
"trex_001"	"pyramid"	3	0
"trex_001"	"pyramid"	4	0
"trex_001"	"pyramid"	5	0
"trex_001"	"pyramid"	6	0
"trex_001"	"pyramid"	7	0
"trex_002"	"pyramid"	1	0
"trex_002"	"pyramid"	2	0
"trex_002"	"pyramid"	3	0
"trex_002"	"pyramid"	4	0
"trex_002"	"pyramid"	5	0
"trex_002"	"pyramid"	6	0
"trex_002"	"pyramid"	7	0
"trex_005"	"pyramid"	1	0
"trex_005"	"pyramid"	2	0
"trex_005"	"pyramid"	3	0
"trex_005"	"pyramid"	4	0
"trex_005"	"pyramid"	5	0
"trex_005"	"pyramid"	6	0
"trex_005"	"pyramid"	7	0
"trex_006"	"pyramid"	1	0
"trex_006"	"pyramid"	2	0
"trex_006"	"pyramid"	3	0
"trex_006"	"pyramid"	4	0
"trex_006"	"pyramid"	5	0
"trex_006"	"pyramid"	6	0
"trex_006"	"pyramid"	7	0
"trex_007"	"pyramid"	1	0
"trex_007"	"pyramid"	2	0
"trex_007"	"pyramid"	3	0
"trex_007"	"pyramid"	4	0
"trex_007"	"pyramid"	5	0
"trex_007"	"pyramid"	6	0
"trex_007"	"pyramid"	7	0
"trex_008"	"pyramid"	1	0
"trex_008"	"pyramid"	2	0
"trex_008"	"pyramid"	3	0
"trex_008"	"pyramid"	4	0
"trex_008"	"pyramid"	5	0
"trex_008"	"pyramid"	6	0
"trex_008"	"pyramid"	7	0
"guitar_001"	"vertical"	1	1
"guitar_001"	"vertical"	2	1
"guitar_001"	"vertical"	3	1
"guitar_001"	"vertical"	4	1
"guitar_001"	"vertical"	5	1
"guitar_001"	"vertical"	6	1
"guitar_001"	"vertical"	7	1
"guitar_002"	"vertical"	1	1
"guitar_002"	"vertical"	2	1
"guitar_002"	"vertical"	3	1
"guitar_002"	"vertical"	4	1
"guitar_002"	"vertical"	5	1
"guitar_002"	"vertical"	6	1
"guitar_002"	"vertical"	7	1
"guitar_003"	"vertical"	1	1
"guitar_003"	"vertical"	2	1
"guitar_003"	"vertical"	3	1
"guitar_003"	"vertical"	4	1
"guitar_003"	"vertical"	5	1
"guitar_003"	"vertical"	6	1
